"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0YbEaME8AfUGyFaP0oanna","Melody of Distant Green Fields","spotify:artist:1yhdBcKmHy6dqnxmdoaeiH","Destly","spotify:album:5PLQJE5EE9t5OHWIZIJx2d","Genshin Impact Sumeru Collection (Visages of Wisdom)","spotify:artist:1yhdBcKmHy6dqnxmdoaeiH","Destly","2022-08-25","https://i.scdn.co/image/ab67616d0000b273f584884580c7fa8b35463976","1","15","112357","https://p.scdn.co/mp3-preview/41b41625721dff44145077dfe9253c9fb5a275f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZNWW2233258","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-11T01:53:34Z"
"spotify:track:4Pybod1toaD5z0s4XxS4Ff","Gallant Challenge","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:22jmHd52fUk6hDe8S3Et0T","Genshin Impact - Jade Moon Upon a Sea of Clouds (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2020-11-06","https://i.scdn.co/image/ab67616d0000b273ae37e6f73804085bf53b23c7","3","3","222676","https://p.scdn.co/mp3-preview/422ba3484217e2f2d744a9da93f77e7fcebdd559?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","FR26V2017032","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-11T01:48:11Z"
"spotify:track:2nqx27Lo3iIGS1YWJpaady","Ruu's Song (From Genshin Impact Tsurumi Island)","spotify:artist:33dcvB5ZSg7z2mTenygZuj, spotify:artist:28VbaiiRmV4vk9O5ykVvCh","Beside Bed, Jordy Chandra","spotify:album:5wjsMkeTEghSJnv7imaQza","Ruu's Song (From Genshin Impact Tsurumi Island)","spotify:artist:33dcvB5ZSg7z2mTenygZuj","Beside Bed","2021-11-02","https://i.scdn.co/image/ab67616d0000b2736cca7d1be61b194348491b5a","1","1","97846","https://p.scdn.co/mp3-preview/9fcdfcc78db46f53f733d8f1cf9edabaa3e1a615?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","QM3DF2169041","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-10T02:58:11Z"
"spotify:track:3lDaALpIklUsJxK45BWUJA","Moonlit Night in Sumeru","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","spotify:album:2P7SmTlPHLZxnvQZOMIGyr","Genshin Impact - Forest of Jnana and Vidya (Original Game Soundtrack)","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","2022-10-20","https://i.scdn.co/image/ab67616d0000b273e59900ac1e393fd453e12bae","1","30","67946","https://p.scdn.co/mp3-preview/70d53836b0b3fe75bbd2ab1833659edecffc383b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FRX872292801","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-10T02:43:06Z"
"spotify:track:3vBFYmxbVQgOfGCmC0HZWy","Sumeru Teaser 03: Prelude to Wisdom","spotify:artist:4FBBc18VCsBicZvXUHWmHs","Fenvalur","spotify:album:0RVJBhxYpyk4d1LWYzeYxm","Sumeru Teaser Soundtrack (02 & 03)","spotify:artist:4FBBc18VCsBicZvXUHWmHs","Fenvalur","2022-08-03","https://i.scdn.co/image/ab67616d0000b273ffb1c2a38ac3c4b24cc9aed0","1","2","197260","https://p.scdn.co/mp3-preview/5f5de415a1a767e059ef8a20eba76145a7a0d21a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QZMEQ2248400","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-10T02:38:59Z"
"spotify:track:2zY9QUxcYVeFysG9mjS4WT","Evergreen Wish","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","spotify:album:2P7SmTlPHLZxnvQZOMIGyr","Genshin Impact - Forest of Jnana and Vidya (Original Game Soundtrack)","spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","HOYO-MiX","2022-10-20","https://i.scdn.co/image/ab67616d0000b273e59900ac1e393fd453e12bae","1","5","126173","https://p.scdn.co/mp3-preview/e35f58cf1f1e0bd1a8039e0506aa4c2954ccf9a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FRX872292776","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-10T02:23:05Z"
"spotify:track:19lEu7mX9lz5LRZyPLxNHP","Overlord of the Thunderstorm","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:2S4UIiVgsFwV2e1vElIMjq","Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-09-22","https://i.scdn.co/image/ab67616d0000b27359fff708b5e52974a8017d1d","3","3","260613","https://p.scdn.co/mp3-preview/147907a7cf21a3af39e5e9266efabcaebc4a9cb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","FRX452199130","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-08T15:00:01Z"
"spotify:track:2TLgsROawT1oJ86JWwKoO9","Forgotten Epic","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","spotify:album:2S4UIiVgsFwV2e1vElIMjq","Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-09-22","https://i.scdn.co/image/ab67616d0000b27359fff708b5e52974a8017d1d","2","27","91146","https://p.scdn.co/mp3-preview/69e1346d1a0366bd963b1c710af1151e864e6608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","FRX452199125","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T10:00:04Z"
"spotify:track:1rC9burqwnnlla07esycDz","Glistening Shards","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg, spotify:artist:5gg5XQREXbryWpPF2pZWto","Yu-Peng Chen, HOYO-MiX, Zach Huang","spotify:album:4sZmCbnqGhDr9oOl2h0J8T","Genshin Impact - Vortex of Legends (Original Game Soundtrack)","spotify:artist:6CY7WNJfd5uZclcS3WeEjx, spotify:artist:2YvlK6lKiKVjXxsjvNbnqg","Yu-Peng Chen, HOYO-MiX","2021-04-02","https://i.scdn.co/image/ab67616d0000b273141d9edc1508d9ef951990a6","1","5","72251","https://p.scdn.co/mp3-preview/3df8becea5208fe54384377e5b4fb4c3a06e9ff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","FR59R2106126","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T09:45:27Z"
"spotify:track:26xkPiOdivbruAZ0Z6SRvy","Sangonomiya Shrine - Inazuma Watatsumi Island (From Genshin Impact Game)","spotify:artist:33dcvB5ZSg7z2mTenygZuj, spotify:artist:28VbaiiRmV4vk9O5ykVvCh","Beside Bed, Jordy Chandra","spotify:album:6OS0ADbL1zB9AywBgW3DGA","Sangonomiya Shrine - Inazuma Watatsumi Island (From Genshin Impact Game)","spotify:artist:33dcvB5ZSg7z2mTenygZuj","Beside Bed","2021-09-07","https://i.scdn.co/image/ab67616d0000b273132aa1329cf815ee97a64f84","1","1","86766","https://p.scdn.co/mp3-preview/d4616fbcfff57f4ce449a4811e95d5581c2633e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QM3DF2141386","spotify:user:75xsdomm11brssg1t7p7zcehw","2023-05-02T09:43:44Z"
