"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4IWam1CO9DOqYNkiCsBnee","Hẹn Em Kiếp Sau (feat. Duy Phúc & TiB)","spotify:artist:6M7sJaExzHoCRNNqZnBy3a, spotify:artist:5Pr8iHV1XeQXqFH0Ereo2e, spotify:artist:4q4JzaaZJaVZWhI2sBquYQ","Lã Thùy Trang, Duy Phúc, Tib","spotify:album:6JHH1mPBbSwav14Yw7DYxD","Hẹn Em Kiếp Sau (feat. Duy Phúc & TiB)","spotify:artist:6M7sJaExzHoCRNNqZnBy3a","Lã Thùy Trang","2019-08-28","https://i.scdn.co/image/ab67616d0000b273205ab6bc7e89e13332fc5d03","1","1","208415","https://p.scdn.co/mp3-preview/bdbcf04bea49997aac9ef1a49f57e3dcee318b3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","VNA0M1903769","","2023-01-25T03:50:50Z"
"spotify:track:3tjCfzWW42G0oNA20GMz5N","Phố Cũ Còn Anh","spotify:artist:4bvfBwk7P6u7mvXkaKu1Hy","Quinn","spotify:album:46vEJefX5FGfFgRnRjKgmS","Phố Cũ Còn Anh","spotify:artist:4bvfBwk7P6u7mvXkaKu1Hy","Quinn","2020-09-21","https://i.scdn.co/image/ab67616d0000b273e242f1d8db9af39c4098b5c3","1","1","233846","https://p.scdn.co/mp3-preview/f7f22fb8b6757add9a5227d7c96888518ed61313?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRX872001332","","2023-01-25T03:46:42Z"
"spotify:track:3dvkpe9FEekxxgaQtxOHQI","Mặt Mộc","spotify:artist:2Xlia1jlI7JDki4Xa42uyK, spotify:artist:4QC9UUJeYEo4wnbTvuOHLo, spotify:artist:7zwJ09FAPbh7EJYvwEAqDD, spotify:artist:3euFcFd5Dc7JAz6t7oKg7m","Phạm Nguyên Ngọc, VAnh, Ân Nhi, BMZ","spotify:album:5Af8YESOWf6nK6BcLh3hkA","Mặt Mộc","spotify:artist:2Xlia1jlI7JDki4Xa42uyK, spotify:artist:4QC9UUJeYEo4wnbTvuOHLo, spotify:artist:7zwJ09FAPbh7EJYvwEAqDD","Phạm Nguyên Ngọc, VAnh, Ân Nhi","2022-08-05","https://i.scdn.co/image/ab67616d0000b273d39b6f25e69de76a491e9594","1","1","214293","https://p.scdn.co/mp3-preview/40b434de4f3a4b2eeffdd8bb0281b1e9bca52d35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","FRX452204106","","2023-01-25T03:36:38Z"
"spotify:track:0NOOpNzTcrgMiKigtt9hXa","산다는 건","spotify:artist:5LwiBgLTllBUiqQGNiQ7jY","HONG JIN YOUNG","spotify:album:3RvBl6rKAc0y0SsRjR4MqE","Lots of Love","spotify:artist:5LwiBgLTllBUiqQGNiQ7jY","HONG JIN YOUNG","2019-03-08","https://i.scdn.co/image/ab67616d0000b27385086d1c399375ed4f36a8b4","1","10","206251","https://p.scdn.co/mp3-preview/1704d4b3f72d43a5bced4f7f18a18e3a141306c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA381209154","","2023-01-25T03:26:31Z"
"spotify:track:3IP4qSMfGeqI2XqHFf25sj","芒种","spotify:artist:6JZIgN9gEgNSS8lY5pmwbx, spotify:artist:4P2x3pFDSDXPLOKWSqUire","音阙诗听, 赵方婧","spotify:album:2T7kNiPCcZmkR11YaKaVtR","芒种","spotify:artist:6JZIgN9gEgNSS8lY5pmwbx, spotify:artist:4P2x3pFDSDXPLOKWSqUire","音阙诗听, 赵方婧","2019-06-06","https://i.scdn.co/image/ab67616d0000b273886dfb1845ff392d548ed540","1","1","216000","https://p.scdn.co/mp3-preview/0e59d366e8e9349577f0deba96621d9e6bc54f3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","FR96X1926982","","2023-01-25T03:15:36Z"
"spotify:track:1mKDbug8bbfDmLe7I4CJpe","Gác Lại Âu Lo (feat. Miu Lê)","spotify:artist:6zUWZmyi5MLOEynQ5wCI5f, spotify:artist:4e5LAUvM35jleGg8gElTsP","Da LAB, Miu Lê","spotify:album:510WT3clDw7bTqUcorerQX","Gác Lại Âu Lo","spotify:artist:6zUWZmyi5MLOEynQ5wCI5f","Da LAB","2020-07-25","https://i.scdn.co/image/ab67616d0000b27392609e21602d3fc7191446a5","1","1","282628","https://p.scdn.co/mp3-preview/1438cd1197de614748d8ea116c77e0c28343519e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","VNA0M1908065","","2023-01-25T03:11:50Z"
"spotify:track:79GqAnQaIxxm4BCzXwEhps","Phía Sau Một Cô Gái (feat. Soobin Hoàng Sơn)","spotify:artist:3eVRIcs5It7zV5sMc7O1hT, spotify:artist:6CGGvCBHWqQ4HXtn5aLhbh","Truyền Hình FPT, SOOBIN","spotify:album:27dSvSnVU4QYCRU8OqF0U6","Music Home Soobin Hoàng Sơn (feat. Soobin Hoàng Sơn)","spotify:artist:3eVRIcs5It7zV5sMc7O1hT","Truyền Hình FPT","2021-06-01","https://i.scdn.co/image/ab67616d0000b2730cb82b1c644a0dafdca3aa5e","1","11","251231","https://p.scdn.co/mp3-preview/c422aabc0f40672b84a6d649f7ee4c589949d97b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","VNA0M1914926","","2023-01-21T11:12:28Z"
"spotify:track:7clTWebfXxZG2lQYe24luY","SLUMP (""Tower of God"" ED)","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","spotify:album:6DWLIzvmiLPAuDWYZqrLQo","GO LIVE","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","2020-06-17","https://i.scdn.co/image/ab67616d0000b273fad8c4176e8df7173479f959","1","12","134792","https://p.scdn.co/mp3-preview/60a83b983beb847c09427f8622341ed7fd5bddf6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","US5TA2000047","","2023-01-19T15:54:31Z"
"spotify:track:4yosBfkEtlSLxH7n4PonsI","TOP (""Tower of God"" OP)","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","spotify:album:6DWLIzvmiLPAuDWYZqrLQo","GO LIVE","spotify:artist:2dIgFjalVxs4ThymZ67YCE","Stray Kids","2020-06-17","https://i.scdn.co/image/ab67616d0000b273fad8c4176e8df7173479f959","1","11","185552","https://p.scdn.co/mp3-preview/03e4dab78ae8a44a82ea05315fecfe05cabf0d4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","US5TA2000046","","2023-01-19T15:51:30Z"
"spotify:track:0TK2YIli7K1leLovkQiNik","Señorita","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Shawn Mendes, Camila Cabello","spotify:album:2ZaX1FdZCwchXl1QZiD4O4","Señorita","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Shawn Mendes, Camila Cabello","2019-06-21","https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb","1","1","190960","","false","81","USUM71911283","","2023-01-19T10:00:12Z"
"spotify:track:6MBrIGJZKNrpcTHrYASgr9","Vì Em Vẫn","spotify:artist:74qKyXT7meuJ49jbtCXk7s","Hari Won","spotify:album:6DSLgmCDSGnfrsn9ij9MEs","Vì Em Vẫn","spotify:artist:74qKyXT7meuJ49jbtCXk7s","Hari Won","2019-01-28","https://i.scdn.co/image/ab67616d0000b273c3df5d6c4cfa5caaffcf830d","1","1","218400","https://p.scdn.co/mp3-preview/8e95099d25a7a790daceded2052101e4420dfb04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","VNA0M1847330","","2023-01-19T08:23:44Z"
"spotify:track:02lp2xnAhewy8Svr6YtA2F","Just like you wanted","spotify:artist:74qKyXT7meuJ49jbtCXk7s","Hari Won","spotify:album:4mEDdph7xI3G5ybMwxuaqs","Just like you wanted","spotify:artist:74qKyXT7meuJ49jbtCXk7s","Hari Won","2022-11-10","https://i.scdn.co/image/ab67616d0000b2733c5e500cb210ca5035e8e830","1","1","206293","https://p.scdn.co/mp3-preview/1028204f8183ac27ca80fad7550d2c50ea2effcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","KRA382208375","","2023-01-19T08:21:04Z"
"spotify:track:4wKcqsZZz2tN4JV7WQfQ70","Giải Kết","spotify:artist:0r63ReVRjxrS4ATbLrdcrL","Hoàng Thùy Linh","spotify:album:4gfu67H8oClhhE4XT5JL2u","Hoàng","spotify:artist:0r63ReVRjxrS4ATbLrdcrL","Hoàng Thùy Linh","2019-10-20","https://i.scdn.co/image/ab67616d0000b2738388f2a214e1fa3220875d3b","1","9","75434","https://p.scdn.co/mp3-preview/b980c90af05b98afe7e44afd657df4e7a772ce53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","VNA0R1900159","","2023-01-19T08:20:53Z"
"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Shape of You","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2017-03-03","https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96","1","4","233712","https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBAHS1600463","","2023-01-13T03:07:10Z"
"spotify:track:6F5c58TMEs1byxUstkzVeM","Roar","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","spotify:album:5MQBzs5YlZlE28mD9yUItn","PRISM (Deluxe)","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","2013-10-18","https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2","1","1","223546","","false","72","USUM71308669","","2023-01-13T03:05:32Z"
"spotify:track:3dL29CCEwsajnouSJ4YZgY","Best Friend","spotify:artist:4mkYWRGo72vVo8UlslCr2U","Lefty Hand Cream","spotify:album:3mpg72CdW3trZb4VWoG3NR","Best Friend","spotify:artist:4mkYWRGo72vVo8UlslCr2U","Lefty Hand Cream","2020-09-14","https://i.scdn.co/image/ab67616d0000b273768c4fa3ae2e6f50e4aa8042","1","1","326086","","false","0","GBLLT1900247","","2023-01-12T16:35:22Z"
"spotify:track:5AqWV5AKCpdCQsJcfGzAxZ","さくら 〜あなたに出会えてよかった〜","spotify:artist:5O2mC2Qd9HSGuisFTl1FM8","RSP","spotify:album:5xtH18XeSMsDpOKeGRCD0r","ii","spotify:artist:5O2mC2Qd9HSGuisFTl1FM8","RSP","2010-09-29","https://i.scdn.co/image/ab67616d0000b27309c4b3c80d6241156e146981","1","3","301493","https://p.scdn.co/mp3-preview/67b23f1bc6c47bc2c1bcda861a5dada9a215814d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","JPSR00900003","","2023-01-11T04:48:36Z"
"spotify:track:33trzekKKMu53GJ5k9LtsA","Windy Hill","spotify:artist:61TFcWiH8mOg7BmkMEdka0","羽肿","spotify:album:2YrHQnIIxuVU99WDBCCIwF","Windy Hill","spotify:artist:61TFcWiH8mOg7BmkMEdka0","羽肿","2018-09-29","https://i.scdn.co/image/ab67616d0000b273ebfa6fc1a1d6f2b332159303","1","1","308918","https://p.scdn.co/mp3-preview/f81fe678f0433e4878441c9fe02515e8ed41fdf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR96X1873817","","2023-01-11T03:50:34Z"
